#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2022-07-17-22-48-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1656433182.843596	CrXsxz3PHRWi1Rasak	10.6.21.140	56308	10.6.21.10	49681	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1656434014.610943	CHonBn2QsfPCMwoUlf	10.6.21.10	54679	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434014.610943	CHonBn2QsfPCMwoUlf	10.6.21.10	54679	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434048.057417	CoLzXs47sFq3LGGsvi	10.6.21.10	54689	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434048.057417	CoLzXs47sFq3LGGsvi	10.6.21.10	54689	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434234.828207	C7Cste3ru4kg82R8Ek	10.6.21.10	54709	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434256.635744	CUrDXn172LqTSqzQ2k	10.6.21.10	54711	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434258.683461	CJu6iOBG7fko2hEjd	10.6.21.10	54713	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434260.583631	CVfkuE3M0F9FDy9xP7	10.6.21.10	54715	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434274.926090	Cpojxi1kY7al5rviX1	10.6.21.10	54622	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434275.102285	CWKgWk3xQGsmsPTp0k	10.6.21.10	54721	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.105438	CpYHGlMNVRRz6l5Z2	10.6.21.10	54722	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.105438	CpYHGlMNVRRz6l5Z2	10.6.21.10	54722	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434275.119352	CpcOES1dkZwlPnhC1g	10.6.21.10	54749	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.119636	CnLZVeA6idzxD0qH2	10.6.21.10	54739	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.123639	CWlsdo3M5ndp7K9C14	10.6.21.10	54759	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.123940	CCX2cI33kozXLfYy91	10.6.21.10	54760	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.123940	CCX2cI33kozXLfYy91	10.6.21.10	54760	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434275.124020	C2xHQq4N5Isj0qSZfd	10.6.21.10	54740	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.309647	CWlsdo3M5ndp7K9C14	10.6.21.10	54759	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434275.608505	C2IumY3JZ9AZgjzgy	10.6.21.10	54801	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434275.608505	C2IumY3JZ9AZgjzgy	10.6.21.10	54801	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434275.665555	Ch8FdK2fCckZWxbD46	10.6.21.10	54725	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434276.173552	CSgsyV1W3l4YeSBW0k	10.6.21.10	54888	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434276.177548	Cf4rgN3h7vOvQNJAhk	10.6.21.10	54909	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434276.177911	CMWUOX3qfGcLfovBaf	10.6.21.10	54914	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434276.645264	CxKqsJ2ai2k0Ct7UPk	10.6.21.10	54986	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434276.745231	CopUad3M5Dg7BZ3Ca4	10.6.21.10	54912	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434276.958221	CXvEaL143Xw1yR5kS7	10.6.21.10	55105	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434276.958350	C2Oqgy31inmqn8bnuc	10.6.21.10	55076	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.141171	CXvEaL143Xw1yR5kS7	10.6.21.10	55105	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434277.141611	C2Oqgy31inmqn8bnuc	10.6.21.10	55076	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434277.142079	C2Idjn3a1Qwz4uxqg5	10.6.21.10	55127	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.144574	Ce9NyF17EOLaR0xav1	10.6.21.10	55126	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.144574	Ce9NyF17EOLaR0xav1	10.6.21.10	55126	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434277.333888	C2Idjn3a1Qwz4uxqg5	10.6.21.10	55127	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434277.443882	CiHzL6VwWRnEOaD17	10.6.21.10	55017	91.238.50.80	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1656434277.479030	CXk0XT2aSFOcA7mgTf	10.6.21.10	55074	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.486460	C4aWGk4BqfgVmtZl15	10.6.21.10	55072	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.756664	CqGuJN2OIuxqcy1Qse	10.6.21.10	54910	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434277.756838	CaiUzX35ZDVmXxvry6	10.6.21.10	54922	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434280.394695	C52Bn42UPwQ8ipLeO8	10.6.21.10	55166	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434294.650691	CKp0X51yBQI85GeW9e	10.6.21.10	55399	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.213445	CJM59f3Jr28YIrMKIc	10.6.21.10	55415	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.412618	CqnvJh2J2f0kCSenj6	10.6.21.10	54719	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.615673	CSR4UkXUTaZU3nR23	10.6.21.10	54731	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.631382	CNvrEznZYOCF0h8Ph	10.6.21.10	54723	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662542	CilKt21x8jKvDIEoK6	10.6.21.10	54720	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662627	CAwu703I70G3ZFd4l5	10.6.21.10	54756	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662697	Ch8FdK2fCckZWxbD46	10.6.21.10	54725	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662834	CPrcS94xyFwxANQv21	10.6.21.10	54734	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662856	CskL4MxlDJn6VeTi2	10.6.21.10	54733	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.662943	Cgk7XS30F0IsCu8QR1	10.6.21.10	54728	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663125	CznQqE2pSO4QL4DeZh	10.6.21.10	54772	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663161	CzxmAs4reOXttgb2V5	10.6.21.10	54742	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663184	CvSwYY2BgfFNhq2Lbk	10.6.21.10	54752	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663283	C5KlGM2jB9EwbX3LQf	10.6.21.10	54732	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663302	CcZrxJ3r9rwK1mzpu6	10.6.21.10	54736	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.663403	CSXRnT1Ja05kKCAbLf	10.6.21.10	54757	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678160	CQ11174hYYRLTguJ3d	10.6.21.10	54779	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678189	CjDfXbqrTICWOI27	10.6.21.10	54751	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678346	CH9WNa2x6F6euyp8ha	10.6.21.10	54735	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678420	CAfOP72AuRMkE5azdd	10.6.21.10	54763	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678479	CxW3hA255PMq4WkYul	10.6.21.10	54755	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678513	CSHxEb1Kt6aR9wR3Rl	10.6.21.10	54741	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678643	CA8W6Xr9vsTfVlPb6	10.6.21.10	54762	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678703	CZvKgS2ITbZ8Vo47L8	10.6.21.10	54778	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678703	CWDWWn2gxclnbnKzMe	10.6.21.10	54743	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678723	C4ISVw2fWjcHYdXPh	10.6.21.10	54758	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.678986	CWxaizUrAN0mfBkFf	10.6.21.10	54774	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.679023	CGREYC2eLf3DuSP8oa	10.6.21.10	54750	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.679120	CAwyxT4KnjV8mjtJ8	10.6.21.10	54726	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.679189	C8RRVj3iZMjotb93xd	10.6.21.10	54768	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.679556	CZ3aep2nU09skSJzu6	10.6.21.10	54767	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.679592	CJ3eUX3zbbdS9ke7N8	10.6.21.10	54777	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.693878	CBGlXs21wGLV1dEna5	10.6.21.10	54753	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.693913	CrKPeR6AJXjYgmQVa	10.6.21.10	54746	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694077	CHJQeY2B6YQmJAoem4	10.6.21.10	54770	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694262	CQrhId2wRpmR71q09	10.6.21.10	54747	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694262	CFemWB9Q8jLmdkpgg	10.6.21.10	54724	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694299	CpcJ9w4X0L9aklDjK5	10.6.21.10	54727	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694299	CWOEUQ3uZfbeUtvsp7	10.6.21.10	54737	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694328	CDmexC3xhLriu5ptrk	10.6.21.10	54765	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694328	C0xzzj2k5e1Wj4wKFk	10.6.21.10	54729	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694370	CH9q0O7LjznxMcgZi	10.6.21.10	54745	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
